Referencia;Nome;Categoria;Preco;Imagem;Preco Final;Id Categoria;Ativo
PROD11307;"Correia CVT V/S 729x18x30, BANDO 139QMB (12"")";  Correias ;24,34;https://motoxpert.pt/web/image/product.template/34255/image?unique=bdcbe9d;29,9382;29;1
PROD12177;Correia Mitsuboshi SYM (Quad Lander 300 -09 UA30A3 / Carter Brothers GTR 250 ?);  Correias ;81,26;https://motoxpert.pt/web/image/product.template/35141/image?unique=2ac5f1b;99,9498;29;1
PROD8295;Correia (820*17.5) - DAYCO - Datala Hacker, Malaguti Crosser;  Correias ;20;https://motoxpert.pt/web/image/product.template/19076/image?unique=b54fdad;24,6;29;1
NK900.04;Correia 738x16.5 V/S p/ Minarelli (versão longa);  Correias ;20,33;https://motoxpert.pt/web/image/product.template/10868/image?unique=b54fdad;25,0059;29;1
P2643;Correia (765x18.9) MITSUBOSHI, Hyosung Boomer 125, Hyper 125cc;  Correias ;23,37;https://motoxpert.pt/web/image/product.template/6728/image?unique=7d8faf9;28,7451;29;1
P152;Correia CVT (868-24.2-30), (MITSUBOSHI CFMOTO) CF250 172MM, TBM GTS250;  Correias ;97,56;https://motoxpert.pt/web/image/product.template/4442/image?unique=d0c8a04;119,9988;29;1
P.16.0066.0018;Correia CVT (828x22.5x30), UTV250 CN/CF250 172MM;  Correias ;48,73;https://motoxpert.pt/web/image/product.template/2344/image?unique=b1f45b8;59,9379;29;1
P.16.0066.0022;Correia CVT POWERLINK (996x30.5), ATV500 ;  Correias ;161,79;https://motoxpert.pt/web/image/product.template/2343/image?unique=4219ed1;199,0017;29;1
P.16.0066.0020;Correia CVT (788x18,1) GATES POWERLINK, 1E40QMB;  Correias ;12,2;https://motoxpert.pt/web/image/product.template/2342/image?unique=d0c8a04;15,006;29;1
P.16.0066.0010;Correia CVT (BANDO), CF500 CF188 ;  Correias ;161,79;https://motoxpert.pt/web/image/product.template/2341/image?unique=4219ed1;199,0017;29;1
P.16.0066.0002;Correia CVT, (918x22.5x30), 172MM (PREDATOR 250);  Correias ;35,77;https://motoxpert.pt/web/image/product.template/2338/image?unique=fabb52e;43,9971;29;1
P.16.0066.0008;Correia CVT (868-24.2-30), (QJIANG) CF250 172MM;  Correias ;16,67;https://motoxpert.pt/web/image/product.template/2336/image?unique=d0c8a04;20,5041;29;1
M3072004-680X18;"Correia 680x18, ENDURANCE / NECO (ONE 10 / ONE 10-R) / LJ139QMB E4 3B1 (10"")";  Correias ;32,48;https://motoxpert.pt/web/image/product.template/35363/image?unique=5c2f365;39,9504;29;1
M3072004;"Correia 681x17.7, MITSUBOSHI / NECO (ONE 10 / ONE 10-R) / LJ139QMB E4 3B1 (10"")";  Correias ;32,48;https://motoxpert.pt/web/image/product.template/10830/image?unique=65fd5d6;39,9504;29;1
P2835;"Correia (669x18x30), (GATES POWERLINK) 139QMB (10"")";  Correias ;16,22;https://motoxpert.pt/web/image/product.template/6221/image?unique=c060c47;19,9506;29;1
P336;"Correia (835x20x30) ""NORMAL"", GATES POWERLINK, GY6 125-150, 152QMI";  Correias ;20,33;https://motoxpert.pt/web/image/product.template/4145/image?unique=bb98297;25,0059;29;1
P522;Correia CVT (743x20x30) 9802-21705 ATV150 GY6 125-150, 152QMI / 157QMJ ;  Correias ;22,36;https://motoxpert.pt/web/image/product.template/4144/image?unique=01bb910;27,5028;29;1
P.16.0066.0024;"Correia CVT GATES ""POWERLINK"" 842x20x30, GY6 125, 152QMI";  Correias ;20,33;https://motoxpert.pt/web/image/product.template/2340/image?unique=e8be31e;25,0059;29;1
P771;Correia (1262x26.2x28) MITSUBOSHI, Honda Silver Wing FJS 600 01-10 PF01;  Correias ;140,24;https://motoxpert.pt/web/image/product.template/4244/image?unique=7d8faf9;172,4952;29;1
P1234;Correia CVT ( 856X23 ), LINHAI VOG 260-300 ATV;  Correias ;39,84;https://motoxpert.pt/web/image/product.template/5450/image?unique=87ab31e;49,0032;29;1
P2235;Correia (1011x27.7), DAYCO, SUZUKI AN Burgman 400 (07-) Maxi scooters;  Correias ;85,37;https://motoxpert.pt/web/image/product.template/6626/image?unique=d0c8a04;105,0051;29;1
P.16.0066.0025;Correia CVT BANDO V/S (906*22.5*30) Honda, Malaguti, Keeway 125, 150cc;  Correias ;18,29;https://motoxpert.pt/web/image/product.template/2143/image?unique=d0c8a04;22,4967;29;1
P.16.0066.0026;"Correia (835x20x30) ""ECONÓMICA"", GY6 125-150, 152QMI";  Correias ;13,78;https://motoxpert.pt/web/image/product.template/2142/image?unique=d0c8a04;16,9494;29;1
P.16.0066.0004;"Correia CVT (729x17,5), GATES POWERLINK, 139QMB (12"")";  Correias ;16,22;https://motoxpert.pt/web/image/product.template/2141/image?unique=d0c8a04;19,9506;29;1
P.16.0066.0028;Correia CVT BANDO (723x17.5x28), GY6 50 139QMB;  Correias ;16,67;https://motoxpert.pt/web/image/product.template/2140/image?unique=d0c8a04;20,5041;29;1
P3885;Correia 820x18x30, Honda SH50 1996-, Sky 50, X8R, Peugeot Looxor 50;  Correias ;29,27;https://motoxpert.pt/web/image/product.template/7650/image?unique=7d8faf9;36,0021;29;1
P4011;Correia CVT NARAKU (788x17x28) 1E40QMB;  Correias ;18,29;https://motoxpert.pt/web/image/product.template/7591/image?unique=5d67418;22,4967;29;1
P4012;Correia CVT DAYCO Power Plus (811x18,5) APRILIA / GILERA / PIAGGIO (v. longa);  Correias ;12,2;https://motoxpert.pt/web/image/product.template/7590/image?unique=1cf2ccb;15,006;29;1
P4474;Correia 691x18x30 (Bando), Honda, Peugeot ;  Correias ;13,82;https://motoxpert.pt/web/image/product.template/7839/image?unique=2f85c24;16,9986;29;1
P4831;Correia (893x24x30), (Bando) Aprilia, Daelim, Kymco / Aeon / ATVs 180, 200, 250, 320 4T;  Correias ;60,98;https://motoxpert.pt/web/image/product.template/7091/image?unique=d0c8a04;75,0054;29;1
P6248;"Correia (669x18x30), (NARAKU V/S) 139QMB (10"")";  Correias ;22,36;https://motoxpert.pt/web/image/product.template/9350/image?unique=02503b5;27,5028;29;1
PN52-2207-C;Correia CVT (PN52-2207-C) CVTECH, BUGGY/KART-CROSS / XINYANG (XY1100-GK);  Correias ;500;https://motoxpert.pt/web/image/product.template/9220/image?unique=d0c8a04;615;29;1
P6509;Correia 815x19 DAYCO POWER PLUS / Kymco, Keeway, Aprilia, Malaguti;  Correias ;32,48;https://motoxpert.pt/web/image/product.template/9205/image?unique=d0c8a04;39,9504;29;1
P6648;Correia (1011x27.7), MITSUBOSHI, SUZUKI AN Burgman 400 (07-) Maxi scooters;  Correias ;129,27;https://motoxpert.pt/web/image/product.template/9138/image?unique=d0c8a04;159,0021;29;1
P6728;Correia CVT ( 818x19.7x28 ), LINHAI VOG 260-300 ATV / M3072001 NECO (GPX 125) / LJ1P52QMI;  Correias ;40,61;https://motoxpert.pt/web/image/product.template/9065/image?unique=ae65bf9;49,9503;29;1
P7023;Correia POLINI Maxi Belt (922x22.5x30), Honda SH, Keeway Outlook 125/150 ;  Correias ;39,02;https://motoxpert.pt/web/image/product.template/9967/image?unique=d0c8a04;47,9946;29;1
